hospital_name,hospital_url,province
爱康体检宝,https://www.haodf.com/hospital/DE4r0Fy0C9Luh0COaNg3lG68YSpIkSXQi.htm,beijing
北京市红十字会急诊抢救中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwMSLTzDaSXakLd-scFHPW.htm,beijing
北京市老年病医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGmQ1r17FFkiUuDINgIYJg.htm,beijing
北京急救中心,https://www.haodf.com/hospital/DE4rO-XCoLUXy154tx00uSYNw1.htm,beijing
北京市朝阳区亚运村街道安翔里社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNhYH9FN8w51SHSYhq37w.htm,beijing
北京市朝阳区望京街道花家地西里社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNhYH4VkceWg66K2nYytQ.htm,beijing
北京市朝阳区望京街道南湖中园社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNKYH54iNyfJKXY-1sBh8.htm,beijing
北京市朝阳区亚运村社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwYJI0ho7IEmiZLC3b3s8R.htm,beijing
朝阳区金盏医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0KmYSNN4gU0pMy6P-9em.htm,beijing
黑庄户社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0J3pXHTJdiUuDINgIYJg.htm,beijing
王四营社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwmQ1ccdJXlztMuLDQvLT1.htm,beijing
双井街道九龙南社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuGRgRSzf0ZXnj-p35r6Dll.htm,beijing
东里医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGMGEkdDIJtxa9sDMfNCrT.htm,beijing
北京市朝阳区三里屯社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuGmxOXy4SzvXxD-uCU22Ut.htm,beijing
北京市朝阳区南磨房第二社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuGmxOpMh7nMLPECdSRGpar.htm,beijing
北京工业大学医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luhnkc8gEmgnnj-p35r6Dll.htm,beijing
北京301医院,https://www.haodf.com/hospital/DE4roiYGYZw0hEIKBtDEBxt8k.htm,beijing
北医三院,https://www.haodf.com/hospital/DE4roiYGYZwWGNldz13dpO1a1.htm,beijing
北京301医院第三医学中心,https://www.haodf.com/hospital/DE4roiYGYZw0KIOyZJ9SvRJb8.htm,beijing
世纪坛医院,https://www.haodf.com/hospital/DE4roiYGYZwWKNWuYe-Bqregr.htm,beijing
中国中医科学院西苑医院,https://www.haodf.com/hospital/DE4roiYGYZwWGWNBM4FM2b44i.htm,beijing
北京市海淀医院,https://www.haodf.com/hospital/DE4roiYGYZwWGX0voi5u5tiO7.htm,beijing
北京304医院,https://www.haodf.com/hospital/DE4roiYGYZw0hIo-DwIIFQwlR.htm,beijing
北大口腔医院,https://www.haodf.com/hospital/DE4roiYGYZw0CXaCFVHDuJVht.htm,beijing
北京301医院第六医学中心,https://www.haodf.com/hospital/DE4roiYGYZw0KXnG6rsvdwrU4.htm,beijing
北京肿瘤医院,https://www.haodf.com/hospital/DE4roiYGYZwWGEmS30yF9V0wc.htm,beijing
航天中心医院,https://www.haodf.com/hospital/DE4roiYGYZwWhnnG6rsvdwrU4.htm,beijing
北京空总医院,https://www.haodf.com/hospital/DE4roiYGYZw0KmIKBtDEBxt8k.htm,beijing
北京309医院,https://www.haodf.com/hospital/DE4roiYGYZw0K0EZsOEX6TORQ.htm,beijing
中关村医院,https://www.haodf.com/hospital/DE4roiYGYZwmJpsp9b25Lgbma.htm,beijing
北京老年医院,https://www.haodf.com/hospital/DE4rO-XCoLUXi2oakhlkqINLVW.htm,beijing
北医六院,https://www.haodf.com/hospital/DE4roiYGYZwWG0YFEgXN3cgkJ.htm,beijing
北京市中西医结合医院,https://www.haodf.com/hospital/DE4rO-XCoLU0jOOoRinOCoXXJe.htm,beijing
北京大学第三医院北方院区,https://www.haodf.com/hospital/DE4rO-XCoLUmibq1ObWl99uMTa.htm,beijing
北京怡德医院,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0GmzFKB34-bvK9uwpomO.htm,beijing
北京四季青医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgMK0zhzSpWIyvz8Kq1V.htm,beijing
上地医院,https://www.haodf.com/hospital/DE4roiYGYZwXiO3XIhpq-4h0m.htm,beijing
北京市海淀区妇幼保健院,https://www.haodf.com/hospital/DE4roiYGYZwWGnEZsOEX6TORQ.htm,beijing
北大口腔三门诊,https://www.haodf.com/hospital/DE4r0Fy0C9LuSlZzfQPj2U94z9ZEju-cx.htm,beijing
北京美尔目医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwlgkfLP0V-Dj-p35r6Dll.htm,beijing
北京诚欣瓒口腔门诊部,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0xoNhO1Rw94z9ZEju-cx.htm,beijing
北京熙仁医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZ0xnMgYQrchmqEELeHuif.htm,beijing
北京怡宁医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwWZWQ74iRxtPECdSRGpar.htm,beijing
首医大三博脑科医院,https://www.haodf.com/hospital/DE4r0eJWGqZNDyuFQdS2QKEpXkgLG4be.htm,beijing
北京家恩德运医院,https://www.haodf.com/hospital/DE4rO-XCoLUmJ5rtPQrVFGoqUr.htm,beijing
北京大学医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuwMZMGNjDvNMV2YMZWydg7.htm,beijing
北京水利医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuZLZkvC1BtGccyq6vJdZnb.htm,beijing
北京安忻临床心理门诊部,https://www.haodf.com/hospital/DE4r0Fy0C9Luh0COIRFYflHcyq6vJdZnb.htm,beijing
甘家口社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNZMhoNzUrFhFZqqOoERk.htm,beijing
万寿路社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9Luw0GXMui6tFEJKXY-1sBh8.htm,beijing
北京市海淀区蓟门里社区卫生服务中心,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNg0CoXnhorbvK9uwpomO.htm,beijing
清华大学医院,https://www.haodf.com/hospital/DE4r0Fy0C9LuGY-2UYCFuKPTs3BGmMGOc.htm,beijing
青云北区社区卫生服务站,https://www.haodf.com/hospital/DE4r0Fy0C9LuwNgNhmk-MKPTs3BGmMGOc.htm,beijing
