Method,Notes
"Researcher discovery","Convenience sample of lead author's notes while studying Chinese medical papers as part of dissertation research."
"Advocacy networks and other researchers","Paper titles obtained from publications by End Transplant Abuse in China, the China Organ Harvest Research Center, and zhuichaguoji.org, maintained by the World Organization to Investigate the Persecution of Falun Gong."
